               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058555,             0.02814,            0.037483,             0.29149,             0.10846,             0.15188,            0.065597,            0.020353,            0.010649,             0.01805,            0.070769,           0.0032479,           0.0032479
                   1,            0.043464,            0.022163,            0.036977,             0.20257,             0.49016,             0.23901,              0.1142,             0.01389,           0.0070285,            0.016521,            0.040661,           0.0064726,           0.0064726
                   2,            0.040214,            0.019344,            0.036859,             0.12736,             0.57026,             0.19191,            0.083113,            0.018073,           0.0064199,             0.01582,            0.010442,           0.0095874,           0.0095874
                   3,            0.033436,            0.018216,            0.034649,             0.17813,             0.64645,             0.29908,             0.11511,            0.020032,           0.0055544,            0.015573,            0.009505,            0.009505,            0.009505
                   4,            0.030415,            0.016848,            0.033448,             0.19716,             0.52439,             0.24678,            0.099851,            0.015943,           0.0056213,            0.015742,            0.009505,            0.009505,            0.009505
                   5,            0.028865,            0.016858,            0.034427,             0.21919,             0.24576,             0.20326,            0.093824,            0.014336,           0.0061049,            0.016104,             0.00934,             0.00934,             0.00934
                   6,            0.026257,            0.017272,            0.033958,             0.25103,             0.55476,             0.29117,             0.13839,            0.011899,           0.0058076,            0.017075,            0.009175,            0.009175,            0.009175
                   7,            0.024261,            0.016414,            0.032125,             0.23225,             0.53055,             0.32229,             0.15317,            0.013055,           0.0050935,            0.015921,             0.00901,             0.00901,             0.00901
                   8,            0.025355,            0.015994,            0.031086,             0.43485,             0.52667,             0.46405,             0.23625,            0.010688,           0.0054626,            0.014685,            0.008845,            0.008845,            0.008845
                   9,            0.022986,            0.015323,            0.029666,             0.23832,              0.5589,             0.41576,             0.19917,            0.012337,           0.0051334,            0.014717,             0.00868,             0.00868,             0.00868
                  10,            0.024051,            0.014828,            0.028019,             0.38448,             0.59463,             0.47412,             0.24728,            0.010949,           0.0048437,            0.012996,            0.008515,            0.008515,            0.008515
                  11,            0.021836,            0.014868,            0.027943,             0.40632,             0.66748,              0.4439,             0.24143,            0.010414,            0.004588,            0.014301,             0.00835,             0.00835,             0.00835
                  12,            0.023844,            0.015325,            0.028903,             0.56829,              0.5497,             0.58107,             0.31112,           0.0099638,           0.0053067,            0.012456,            0.008185,            0.008185,            0.008185
